First Come First Served (FCFS)
Processing job #0
	CYCLE: 0	  REMAINING: 	145  ...
	CYCLE: 40	  REMAINING: 	105  ...
	CYCLE: 41	  REMAINING: 	104  ...
	CYCLE: 42	  REMAINING: 	103  ...
	CYCLE: 43	  REMAINING: 	102  ...
	CYCLE: 44	  REMAINING: 	101  ...
	CYCLE: 45	  REMAINING: 	100  ...
	CYCLE: 46	  REMAINING: 	99  ...
	CYCLE: 47	  REMAINING: 	98  ...
	CYCLE: 48	  REMAINING: 	97  ...
	CYCLE: 49	  REMAINING: 	96  ...
	CYCLE: 50	  REMAINING: 	95  ...
	CYCLE: 51	  REMAINING: 	94  ...
	CYCLE: 52	  REMAINING: 	93  ...
	CYCLE: 53	  REMAINING: 	92  ...
	CYCLE: 54	  REMAINING: 	91  ...
	CYCLE: 55	  REMAINING: 	90  ...
	CYCLE: 56	  REMAINING: 	89  ...
	CYCLE: 57	  REMAINING: 	88  ...
	CYCLE: 58	  REMAINING: 	87  ...
	CYCLE: 59	  REMAINING: 	86  ...
	CYCLE: 60	  REMAINING: 	85  ...
	CYCLE: 61	  REMAINING: 	84  ...
	CYCLE: 62	  REMAINING: 	83  ...
	CYCLE: 63	  REMAINING: 	82  ...
	CYCLE: 64	  REMAINING: 	81  ...
	CYCLE: 65	  REMAINING: 	80  ...
	CYCLE: 66	  REMAINING: 	79  ...
	CYCLE: 67	  REMAINING: 	78  ...
	CYCLE: 68	  REMAINING: 	77  ...
	CYCLE: 69	  REMAINING: 	76  ...
	CYCLE: 70	  REMAINING: 	75  ...
	CYCLE: 71	  REMAINING: 	74  ...
	CYCLE: 72	  REMAINING: 	73  ...
	CYCLE: 73	  REMAINING: 	72  ...
	CYCLE: 74	  REMAINING: 	71  ...
	CYCLE: 75	  REMAINING: 	70  ...
	CYCLE: 76	  REMAINING: 	69  ...
	CYCLE: 77	  REMAINING: 	68  ...
	CYCLE: 78	  REMAINING: 	67  ...
	CYCLE: 79	  REMAINING: 	66  ...
	CYCLE: 80	  REMAINING: 	65  ...
	CYCLE: 81	  REMAINING: 	64  ...
	CYCLE: 82	  REMAINING: 	63  ...
	CYCLE: 83	  REMAINING: 	62  ...
	CYCLE: 84	  REMAINING: 	61  ...
	CYCLE: 85	  REMAINING: 	60  ...
	CYCLE: 86	  REMAINING: 	59  ...
	CYCLE: 87	  REMAINING: 	58  ...
	CYCLE: 88	  REMAINING: 	57  ...
	CYCLE: 89	  REMAINING: 	56  ...
	CYCLE: 90	  REMAINING: 	55  ...
	CYCLE: 91	  REMAINING: 	54  ...
	CYCLE: 92	  REMAINING: 	53  ...
	CYCLE: 93	  REMAINING: 	52  ...
	CYCLE: 94	  REMAINING: 	51  ...
	CYCLE: 95	  REMAINING: 	50  ...
	CYCLE: 96	  REMAINING: 	49  ...
	CYCLE: 97	  REMAINING: 	48  ...
	CYCLE: 98	  REMAINING: 	47  ...
	CYCLE: 99	  REMAINING: 	46  ...
	CYCLE: 100	  REMAINING: 	45  ...
	CYCLE: 101	  REMAINING: 	44  ...
	CYCLE: 102	  REMAINING: 	43  ...
	CYCLE: 103	  REMAINING: 	42  ...
	CYCLE: 104	  REMAINING: 	41  ...
	CYCLE: 105	  REMAINING: 	40  ...
	CYCLE: 106	  REMAINING: 	39  ...
	CYCLE: 107	  REMAINING: 	38  ...
	CYCLE: 108	  REMAINING: 	37  ...
	CYCLE: 109	  REMAINING: 	36  ...
	CYCLE: 110	  REMAINING: 	35  ...
	CYCLE: 111	  REMAINING: 	34  ...
	CYCLE: 112	  REMAINING: 	33  ...
	CYCLE: 113	  REMAINING: 	32  ...
	CYCLE: 114	  REMAINING: 	31  ...
	CYCLE: 115	  REMAINING: 	30  ...
	CYCLE: 116	  REMAINING: 	29  ...
	CYCLE: 117	  REMAINING: 	28  ...
	CYCLE: 118	  REMAINING: 	27  ...
	CYCLE: 119	  REMAINING: 	26  ...
	CYCLE: 120	  REMAINING: 	25  ...
	CYCLE: 121	  REMAINING: 	24  ...
	CYCLE: 122	  REMAINING: 	23  ...
	CYCLE: 123	  REMAINING: 	22  ...
	CYCLE: 124	  REMAINING: 	21  ...
	CYCLE: 125	  REMAINING: 	20  ...
	CYCLE: 126	  REMAINING: 	19  ...
	CYCLE: 127	  REMAINING: 	18  ...
	CYCLE: 128	  REMAINING: 	17  ...
	CYCLE: 129	  REMAINING: 	16  ...
	CYCLE: 130	  REMAINING: 	15  ...
	CYCLE: 131	  REMAINING: 	14  ...
	CYCLE: 132	  REMAINING: 	13  ...
	CYCLE: 133	  REMAINING: 	12  ...
	CYCLE: 134	  REMAINING: 	11  ...
	CYCLE: 135	  REMAINING: 	10  ...
	CYCLE: 136	  REMAINING: 	9  ...
	CYCLE: 137	  REMAINING: 	8  ...
	CYCLE: 138	  REMAINING: 	7  ...
	CYCLE: 139	  REMAINING: 	6  ...
	CYCLE: 140	  REMAINING: 	5  ...
	CYCLE: 141	  REMAINING: 	4  ...
	CYCLE: 142	  REMAINING: 	3  ...
	CYCLE: 143	  REMAINING: 	2  ...
	CYCLE: 144	  REMAINING: 	1  ...
	CYCLE: 145	  REMAINING: 	0  ...
Done


----------------------------------------------
Processing job #1
	CYCLE: 146	  REMAINING: 	93  ...
	CYCLE: 147	  REMAINING: 	92  ...
	CYCLE: 148	  REMAINING: 	91  ...
	CYCLE: 149	  REMAINING: 	90  ...
	CYCLE: 150	  REMAINING: 	89  ...
	CYCLE: 151	  REMAINING: 	88  ...
	CYCLE: 152	  REMAINING: 	87  ...
	CYCLE: 153	  REMAINING: 	86  ...
	CYCLE: 154	  REMAINING: 	85  ...
	CYCLE: 155	  REMAINING: 	84  ...
	CYCLE: 156	  REMAINING: 	83  ...
	CYCLE: 157	  REMAINING: 	82  ...
	CYCLE: 158	  REMAINING: 	81  ...
	CYCLE: 159	  REMAINING: 	80  ...
	CYCLE: 160	  REMAINING: 	79  ...
	CYCLE: 161	  REMAINING: 	78  ...
	CYCLE: 162	  REMAINING: 	77  ...
	CYCLE: 163	  REMAINING: 	76  ...
	CYCLE: 164	  REMAINING: 	75  ...
	CYCLE: 165	  REMAINING: 	74  ...
	CYCLE: 166	  REMAINING: 	73  ...
	CYCLE: 167	  REMAINING: 	72  ...
	CYCLE: 168	  REMAINING: 	71  ...
	CYCLE: 169	  REMAINING: 	70  ...
	CYCLE: 170	  REMAINING: 	69  ...
	CYCLE: 171	  REMAINING: 	68  ...
	CYCLE: 172	  REMAINING: 	67  ...
	CYCLE: 173	  REMAINING: 	66  ...
	CYCLE: 174	  REMAINING: 	65  ...
	CYCLE: 175	  REMAINING: 	64  ...
	CYCLE: 176	  REMAINING: 	63  ...
	CYCLE: 177	  REMAINING: 	62  ...
	CYCLE: 178	  REMAINING: 	61  ...
	CYCLE: 179	  REMAINING: 	60  ...
	CYCLE: 180	  REMAINING: 	59  ...
	CYCLE: 181	  REMAINING: 	58  ...
	CYCLE: 182	  REMAINING: 	57  ...
	CYCLE: 183	  REMAINING: 	56  ...
	CYCLE: 184	  REMAINING: 	55  ...
	CYCLE: 185	  REMAINING: 	54  ...
	CYCLE: 186	  REMAINING: 	53  ...
	CYCLE: 187	  REMAINING: 	52  ...
	CYCLE: 188	  REMAINING: 	51  ...
	CYCLE: 189	  REMAINING: 	50  ...
	CYCLE: 190	  REMAINING: 	49  ...
	CYCLE: 191	  REMAINING: 	48  ...
	CYCLE: 192	  REMAINING: 	47  ...
	CYCLE: 193	  REMAINING: 	46  ...
	CYCLE: 194	  REMAINING: 	45  ...
	CYCLE: 195	  REMAINING: 	44  ...
	CYCLE: 196	  REMAINING: 	43  ...
	CYCLE: 197	  REMAINING: 	42  ...
	CYCLE: 198	  REMAINING: 	41  ...
	CYCLE: 199	  REMAINING: 	40  ...
	CYCLE: 200	  REMAINING: 	39  ...
	CYCLE: 201	  REMAINING: 	38  ...
	CYCLE: 202	  REMAINING: 	37  ...
	CYCLE: 203	  REMAINING: 	36  ...
	CYCLE: 204	  REMAINING: 	35  ...
	CYCLE: 205	  REMAINING: 	34  ...
	CYCLE: 206	  REMAINING: 	33  ...
	CYCLE: 207	  REMAINING: 	32  ...
	CYCLE: 208	  REMAINING: 	31  ...
	CYCLE: 209	  REMAINING: 	30  ...
	CYCLE: 210	  REMAINING: 	29  ...
	CYCLE: 211	  REMAINING: 	28  ...
	CYCLE: 212	  REMAINING: 	27  ...
	CYCLE: 213	  REMAINING: 	26  ...
	CYCLE: 214	  REMAINING: 	25  ...
	CYCLE: 215	  REMAINING: 	24  ...
	CYCLE: 216	  REMAINING: 	23  ...
	CYCLE: 217	  REMAINING: 	22  ...
	CYCLE: 218	  REMAINING: 	21  ...
	CYCLE: 219	  REMAINING: 	20  ...
	CYCLE: 220	  REMAINING: 	19  ...
	CYCLE: 221	  REMAINING: 	18  ...
	CYCLE: 222	  REMAINING: 	17  ...
	CYCLE: 223	  REMAINING: 	16  ...
	CYCLE: 224	  REMAINING: 	15  ...
	CYCLE: 225	  REMAINING: 	14  ...
	CYCLE: 226	  REMAINING: 	13  ...
	CYCLE: 227	  REMAINING: 	12  ...
	CYCLE: 228	  REMAINING: 	11  ...
	CYCLE: 229	  REMAINING: 	10  ...
	CYCLE: 230	  REMAINING: 	9  ...
	CYCLE: 231	  REMAINING: 	8  ...
	CYCLE: 232	  REMAINING: 	7  ...
	CYCLE: 233	  REMAINING: 	6  ...
	CYCLE: 234	  REMAINING: 	5  ...
	CYCLE: 235	  REMAINING: 	4  ...
	CYCLE: 236	  REMAINING: 	3  ...
	CYCLE: 237	  REMAINING: 	2  ...
	CYCLE: 238	  REMAINING: 	1  ...
	CYCLE: 239	  REMAINING: 	0  ...
Done


----------------------------------------------
Processing job #2
	CYCLE: 240	  REMAINING: 	72  ...
	CYCLE: 241	  REMAINING: 	71  ...
	CYCLE: 242	  REMAINING: 	70  ...
	CYCLE: 243	  REMAINING: 	69  ...
	CYCLE: 244	  REMAINING: 	68  ...
	CYCLE: 245	  REMAINING: 	67  ...
	CYCLE: 246	  REMAINING: 	66  ...
	CYCLE: 247	  REMAINING: 	65  ...
	CYCLE: 248	  REMAINING: 	64  ...
	CYCLE: 249	  REMAINING: 	63  ...
	CYCLE: 250	  REMAINING: 	62  ...
	CYCLE: 251	  REMAINING: 	61  ...
	CYCLE: 252	  REMAINING: 	60  ...
	CYCLE: 253	  REMAINING: 	59  ...
	CYCLE: 254	  REMAINING: 	58  ...
	CYCLE: 255	  REMAINING: 	57  ...
	CYCLE: 256	  REMAINING: 	56  ...
	CYCLE: 257	  REMAINING: 	55  ...
	CYCLE: 258	  REMAINING: 	54  ...
	CYCLE: 259	  REMAINING: 	53  ...
	CYCLE: 260	  REMAINING: 	52  ...
	CYCLE: 261	  REMAINING: 	51  ...
	CYCLE: 262	  REMAINING: 	50  ...
	CYCLE: 263	  REMAINING: 	49  ...
	CYCLE: 264	  REMAINING: 	48  ...
	CYCLE: 265	  REMAINING: 	47  ...
	CYCLE: 266	  REMAINING: 	46  ...
	CYCLE: 267	  REMAINING: 	45  ...
	CYCLE: 268	  REMAINING: 	44  ...
	CYCLE: 269	  REMAINING: 	43  ...
	CYCLE: 270	  REMAINING: 	42  ...
	CYCLE: 271	  REMAINING: 	41  ...
	CYCLE: 272	  REMAINING: 	40  ...
	CYCLE: 273	  REMAINING: 	39  ...
	CYCLE: 274	  REMAINING: 	38  ...
	CYCLE: 275	  REMAINING: 	37  ...
	CYCLE: 276	  REMAINING: 	36  ...
	CYCLE: 277	  REMAINING: 	35  ...
	CYCLE: 278	  REMAINING: 	34  ...
	CYCLE: 279	  REMAINING: 	33  ...
	CYCLE: 280	  REMAINING: 	32  ...
	CYCLE: 281	  REMAINING: 	31  ...
	CYCLE: 282	  REMAINING: 	30  ...
	CYCLE: 283	  REMAINING: 	29  ...
	CYCLE: 284	  REMAINING: 	28  ...
	CYCLE: 285	  REMAINING: 	27  ...
	CYCLE: 286	  REMAINING: 	26  ...
	CYCLE: 287	  REMAINING: 	25  ...
	CYCLE: 288	  REMAINING: 	24  ...
	CYCLE: 289	  REMAINING: 	23  ...
	CYCLE: 290	  REMAINING: 	22  ...
	CYCLE: 291	  REMAINING: 	21  ...
	CYCLE: 292	  REMAINING: 	20  ...
	CYCLE: 293	  REMAINING: 	19  ...
	CYCLE: 294	  REMAINING: 	18  ...
	CYCLE: 295	  REMAINING: 	17  ...
	CYCLE: 296	  REMAINING: 	16  ...
	CYCLE: 297	  REMAINING: 	15  ...
	CYCLE: 298	  REMAINING: 	14  ...
	CYCLE: 299	  REMAINING: 	13  ...
	CYCLE: 300	  REMAINING: 	12  ...
	CYCLE: 301	  REMAINING: 	11  ...
	CYCLE: 302	  REMAINING: 	10  ...
	CYCLE: 303	  REMAINING: 	9  ...
	CYCLE: 304	  REMAINING: 	8  ...
	CYCLE: 305	  REMAINING: 	7  ...
	CYCLE: 306	  REMAINING: 	6  ...
	CYCLE: 307	  REMAINING: 	5  ...
	CYCLE: 308	  REMAINING: 	4  ...
	CYCLE: 309	  REMAINING: 	3  ...
	CYCLE: 310	  REMAINING: 	2  ...
	CYCLE: 311	  REMAINING: 	1  ...
	CYCLE: 312	  REMAINING: 	0  ...
Done


----------------------------------------------
Processing job #3
	CYCLE: 313	  REMAINING: 	105  ...
	CYCLE: 314	  REMAINING: 	104  ...
	CYCLE: 315	  REMAINING: 	103  ...
	CYCLE: 316	  REMAINING: 	102  ...
	CYCLE: 317	  REMAINING: 	101  ...
	CYCLE: 318	  REMAINING: 	100  ...
	CYCLE: 319	  REMAINING: 	99  ...
	CYCLE: 320	  REMAINING: 	98  ...
	CYCLE: 321	  REMAINING: 	97  ...
	CYCLE: 322	  REMAINING: 	96  ...
	CYCLE: 323	  REMAINING: 	95  ...
	CYCLE: 324	  REMAINING: 	94  ...
	CYCLE: 325	  REMAINING: 	93  ...
	CYCLE: 326	  REMAINING: 	92  ...
	CYCLE: 327	  REMAINING: 	91  ...
	CYCLE: 328	  REMAINING: 	90  ...
	CYCLE: 329	  REMAINING: 	89  ...
	CYCLE: 330	  REMAINING: 	88  ...
	CYCLE: 331	  REMAINING: 	87  ...
	CYCLE: 332	  REMAINING: 	86  ...
	CYCLE: 333	  REMAINING: 	85  ...
	CYCLE: 334	  REMAINING: 	84  ...
	CYCLE: 335	  REMAINING: 	83  ...
	CYCLE: 336	  REMAINING: 	82  ...
	CYCLE: 337	  REMAINING: 	81  ...
	CYCLE: 338	  REMAINING: 	80  ...
	CYCLE: 339	  REMAINING: 	79  ...
	CYCLE: 340	  REMAINING: 	78  ...
	CYCLE: 341	  REMAINING: 	77  ...
	CYCLE: 342	  REMAINING: 	76  ...
	CYCLE: 343	  REMAINING: 	75  ...
	CYCLE: 344	  REMAINING: 	74  ...
	CYCLE: 345	  REMAINING: 	73  ...
	CYCLE: 346	  REMAINING: 	72  ...
	CYCLE: 347	  REMAINING: 	71  ...
	CYCLE: 348	  REMAINING: 	70  ...
	CYCLE: 349	  REMAINING: 	69  ...
	CYCLE: 350	  REMAINING: 	68  ...
	CYCLE: 351	  REMAINING: 	67  ...
	CYCLE: 352	  REMAINING: 	66  ...
	CYCLE: 353	  REMAINING: 	65  ...
	CYCLE: 354	  REMAINING: 	64  ...
	CYCLE: 355	  REMAINING: 	63  ...
	CYCLE: 356	  REMAINING: 	62  ...
	CYCLE: 357	  REMAINING: 	61  ...
	CYCLE: 358	  REMAINING: 	60  ...
	CYCLE: 359	  REMAINING: 	59  ...
	CYCLE: 360	  REMAINING: 	58  ...
	CYCLE: 361	  REMAINING: 	57  ...
	CYCLE: 362	  REMAINING: 	56  ...
	CYCLE: 363	  REMAINING: 	55  ...
	CYCLE: 364	  REMAINING: 	54  ...
	CYCLE: 365	  REMAINING: 	53  ...
	CYCLE: 366	  REMAINING: 	52  ...
	CYCLE: 367	  REMAINING: 	51  ...
	CYCLE: 368	  REMAINING: 	50  ...
	CYCLE: 369	  REMAINING: 	49  ...
	CYCLE: 370	  REMAINING: 	48  ...
	CYCLE: 371	  REMAINING: 	47  ...
	CYCLE: 372	  REMAINING: 	46  ...
	CYCLE: 373	  REMAINING: 	45  ...
	CYCLE: 374	  REMAINING: 	44  ...
	CYCLE: 375	  REMAINING: 	43  ...
	CYCLE: 376	  REMAINING: 	42  ...
	CYCLE: 377	  REMAINING: 	41  ...
	CYCLE: 378	  REMAINING: 	40  ...
	CYCLE: 379	  REMAINING: 	39  ...
	CYCLE: 380	  REMAINING: 	38  ...
	CYCLE: 381	  REMAINING: 	37  ...
	CYCLE: 382	  REMAINING: 	36  ...
	CYCLE: 383	  REMAINING: 	35  ...
	CYCLE: 384	  REMAINING: 	34  ...
	CYCLE: 385	  REMAINING: 	33  ...
	CYCLE: 386	  REMAINING: 	32  ...
	CYCLE: 387	  REMAINING: 	31  ...
	CYCLE: 388	  REMAINING: 	30  ...
	CYCLE: 389	  REMAINING: 	29  ...
	CYCLE: 390	  REMAINING: 	28  ...
	CYCLE: 391	  REMAINING: 	27  ...
	CYCLE: 392	  REMAINING: 	26  ...
	CYCLE: 393	  REMAINING: 	25  ...
	CYCLE: 394	  REMAINING: 	24  ...
	CYCLE: 395	  REMAINING: 	23  ...
	CYCLE: 396	  REMAINING: 	22  ...
	CYCLE: 397	  REMAINING: 	21  ...
	CYCLE: 398	  REMAINING: 	20  ...
	CYCLE: 399	  REMAINING: 	19  ...
	CYCLE: 400	  REMAINING: 	18  ...
	CYCLE: 401	  REMAINING: 	17  ...
	CYCLE: 402	  REMAINING: 	16  ...
	CYCLE: 403	  REMAINING: 	15  ...
	CYCLE: 404	  REMAINING: 	14  ...
	CYCLE: 405	  REMAINING: 	13  ...
	CYCLE: 406	  REMAINING: 	12  ...
	CYCLE: 407	  REMAINING: 	11  ...
	CYCLE: 408	  REMAINING: 	10  ...
	CYCLE: 409	  REMAINING: 	9  ...
	CYCLE: 410	  REMAINING: 	8  ...
	CYCLE: 411	  REMAINING: 	7  ...
	CYCLE: 412	  REMAINING: 	6  ...
	CYCLE: 413	  REMAINING: 	5  ...
	CYCLE: 414	  REMAINING: 	4  ...
	CYCLE: 415	  REMAINING: 	3  ...
	CYCLE: 416	  REMAINING: 	2  ...
	CYCLE: 417	  REMAINING: 	1  ...
	CYCLE: 418	  REMAINING: 	0  ...
Done


----------------------------------------------
Processing job #4
	CYCLE: 419	  REMAINING: 	108  ...
	CYCLE: 420	  REMAINING: 	107  ...
	CYCLE: 421	  REMAINING: 	106  ...
	CYCLE: 422	  REMAINING: 	105  ...
	CYCLE: 423	  REMAINING: 	104  ...
	CYCLE: 424	  REMAINING: 	103  ...
	CYCLE: 425	  REMAINING: 	102  ...
	CYCLE: 426	  REMAINING: 	101  ...
	CYCLE: 427	  REMAINING: 	100  ...
	CYCLE: 428	  REMAINING: 	99  ...
	CYCLE: 429	  REMAINING: 	98  ...
	CYCLE: 430	  REMAINING: 	97  ...
	CYCLE: 431	  REMAINING: 	96  ...
	CYCLE: 432	  REMAINING: 	95  ...
	CYCLE: 433	  REMAINING: 	94  ...
	CYCLE: 434	  REMAINING: 	93  ...
	CYCLE: 435	  REMAINING: 	92  ...
	CYCLE: 436	  REMAINING: 	91  ...
	CYCLE: 437	  REMAINING: 	90  ...
	CYCLE: 438	  REMAINING: 	89  ...
	CYCLE: 439	  REMAINING: 	88  ...
	CYCLE: 440	  REMAINING: 	87  ...
	CYCLE: 441	  REMAINING: 	86  ...
	CYCLE: 442	  REMAINING: 	85  ...
	CYCLE: 443	  REMAINING: 	84  ...
	CYCLE: 444	  REMAINING: 	83  ...
	CYCLE: 445	  REMAINING: 	82  ...
	CYCLE: 446	  REMAINING: 	81  ...
	CYCLE: 447	  REMAINING: 	80  ...
	CYCLE: 448	  REMAINING: 	79  ...
	CYCLE: 449	  REMAINING: 	78  ...
	CYCLE: 450	  REMAINING: 	77  ...
	CYCLE: 451	  REMAINING: 	76  ...
	CYCLE: 452	  REMAINING: 	75  ...
	CYCLE: 453	  REMAINING: 	74  ...
	CYCLE: 454	  REMAINING: 	73  ...
	CYCLE: 455	  REMAINING: 	72  ...
	CYCLE: 456	  REMAINING: 	71  ...
	CYCLE: 457	  REMAINING: 	70  ...
	CYCLE: 458	  REMAINING: 	69  ...
	CYCLE: 459	  REMAINING: 	68  ...
	CYCLE: 460	  REMAINING: 	67  ...
	CYCLE: 461	  REMAINING: 	66  ...
	CYCLE: 462	  REMAINING: 	65  ...
	CYCLE: 463	  REMAINING: 	64  ...
	CYCLE: 464	  REMAINING: 	63  ...
	CYCLE: 465	  REMAINING: 	62  ...
	CYCLE: 466	  REMAINING: 	61  ...
	CYCLE: 467	  REMAINING: 	60  ...
	CYCLE: 468	  REMAINING: 	59  ...
	CYCLE: 469	  REMAINING: 	58  ...
	CYCLE: 470	  REMAINING: 	57  ...
	CYCLE: 471	  REMAINING: 	56  ...
	CYCLE: 472	  REMAINING: 	55  ...
	CYCLE: 473	  REMAINING: 	54  ...
	CYCLE: 474	  REMAINING: 	53  ...
	CYCLE: 475	  REMAINING: 	52  ...
	CYCLE: 476	  REMAINING: 	51  ...
	CYCLE: 477	  REMAINING: 	50  ...
	CYCLE: 478	  REMAINING: 	49  ...
	CYCLE: 479	  REMAINING: 	48  ...
	CYCLE: 480	  REMAINING: 	47  ...
	CYCLE: 481	  REMAINING: 	46  ...
	CYCLE: 482	  REMAINING: 	45  ...
	CYCLE: 483	  REMAINING: 	44  ...
	CYCLE: 484	  REMAINING: 	43  ...
	CYCLE: 485	  REMAINING: 	42  ...
	CYCLE: 486	  REMAINING: 	41  ...
	CYCLE: 487	  REMAINING: 	40  ...
	CYCLE: 488	  REMAINING: 	39  ...
	CYCLE: 489	  REMAINING: 	38  ...
	CYCLE: 490	  REMAINING: 	37  ...
	CYCLE: 491	  REMAINING: 	36  ...
	CYCLE: 492	  REMAINING: 	35  ...
	CYCLE: 493	  REMAINING: 	34  ...
	CYCLE: 494	  REMAINING: 	33  ...
	CYCLE: 495	  REMAINING: 	32  ...
	CYCLE: 496	  REMAINING: 	31  ...
	CYCLE: 497	  REMAINING: 	30  ...
	CYCLE: 498	  REMAINING: 	29  ...
	CYCLE: 499	  REMAINING: 	28  ...
	CYCLE: 500	  REMAINING: 	27  ...
	CYCLE: 501	  REMAINING: 	26  ...
	CYCLE: 502	  REMAINING: 	25  ...
	CYCLE: 503	  REMAINING: 	24  ...
	CYCLE: 504	  REMAINING: 	23  ...
	CYCLE: 505	  REMAINING: 	22  ...
	CYCLE: 506	  REMAINING: 	21  ...
	CYCLE: 507	  REMAINING: 	20  ...
	CYCLE: 508	  REMAINING: 	19  ...
	CYCLE: 509	  REMAINING: 	18  ...
	CYCLE: 510	  REMAINING: 	17  ...
	CYCLE: 511	  REMAINING: 	16  ...
	CYCLE: 512	  REMAINING: 	15  ...
	CYCLE: 513	  REMAINING: 	14  ...
	CYCLE: 514	  REMAINING: 	13  ...
	CYCLE: 515	  REMAINING: 	12  ...
	CYCLE: 516	  REMAINING: 	11  ...
	CYCLE: 517	  REMAINING: 	10  ...
	CYCLE: 518	  REMAINING: 	9  ...
	CYCLE: 519	  REMAINING: 	8  ...
	CYCLE: 520	  REMAINING: 	7  ...
	CYCLE: 521	  REMAINING: 	6  ...
	CYCLE: 522	  REMAINING: 	5  ...
	CYCLE: 523	  REMAINING: 	4  ...
	CYCLE: 524	  REMAINING: 	3  ...
	CYCLE: 525	  REMAINING: 	2  ...
	CYCLE: 526	  REMAINING: 	1  ...
	CYCLE: 527	  REMAINING: 	0  ...
Done


----------------------------------------------
Processing job #5
	CYCLE: 528	  REMAINING: 	96  ...
	CYCLE: 529	  REMAINING: 	95  ...
	CYCLE: 530	  REMAINING: 	94  ...
	CYCLE: 531	  REMAINING: 	93  ...
	CYCLE: 532	  REMAINING: 	92  ...
	CYCLE: 533	  REMAINING: 	91  ...
	CYCLE: 534	  REMAINING: 	90  ...
	CYCLE: 535	  REMAINING: 	89  ...
	CYCLE: 536	  REMAINING: 	88  ...
	CYCLE: 537	  REMAINING: 	87  ...
	CYCLE: 538	  REMAINING: 	86  ...
	CYCLE: 539	  REMAINING: 	85  ...
	CYCLE: 540	  REMAINING: 	84  ...
	CYCLE: 541	  REMAINING: 	83  ...
	CYCLE: 542	  REMAINING: 	82  ...
	CYCLE: 543	  REMAINING: 	81  ...
	CYCLE: 544	  REMAINING: 	80  ...
	CYCLE: 545	  REMAINING: 	79  ...
	CYCLE: 546	  REMAINING: 	78  ...
	CYCLE: 547	  REMAINING: 	77  ...
	CYCLE: 548	  REMAINING: 	76  ...
	CYCLE: 549	  REMAINING: 	75  ...
	CYCLE: 550	  REMAINING: 	74  ...
	CYCLE: 551	  REMAINING: 	73  ...
	CYCLE: 552	  REMAINING: 	72  ...
	CYCLE: 553	  REMAINING: 	71  ...
	CYCLE: 554	  REMAINING: 	70  ...
	CYCLE: 555	  REMAINING: 	69  ...
	CYCLE: 556	  REMAINING: 	68  ...
	CYCLE: 557	  REMAINING: 	67  ...
	CYCLE: 558	  REMAINING: 	66  ...
	CYCLE: 559	  REMAINING: 	65  ...
	CYCLE: 560	  REMAINING: 	64  ...
	CYCLE: 561	  REMAINING: 	63  ...
	CYCLE: 562	  REMAINING: 	62  ...
	CYCLE: 563	  REMAINING: 	61  ...
	CYCLE: 564	  REMAINING: 	60  ...
	CYCLE: 565	  REMAINING: 	59  ...
	CYCLE: 566	  REMAINING: 	58  ...
	CYCLE: 567	  REMAINING: 	57  ...
	CYCLE: 568	  REMAINING: 	56  ...
	CYCLE: 569	  REMAINING: 	55  ...
	CYCLE: 570	  REMAINING: 	54  ...
	CYCLE: 571	  REMAINING: 	53  ...
	CYCLE: 572	  REMAINING: 	52  ...
	CYCLE: 573	  REMAINING: 	51  ...
	CYCLE: 574	  REMAINING: 	50  ...
	CYCLE: 575	  REMAINING: 	49  ...
